Port,Protocol,Service,Description,Risk,Category,Recommendation
19,udp,chargen,Character Generator,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
20,tcp,ftp-data,File Transfer [Default Data],HIGH,File Transfer,Use secure protocols (SFTP/FTPS); Disable anonymous access; Restrict file transfer permissions.
20,udp,ftp-data,File Transfer [Default Data],HIGH,File Transfer,Use secure protocols (SFTP/FTPS); Disable anonymous access; Restrict file transfer permissions.
20,sctp,ftp-data,FTP,HIGH,File Transfer,Use secure protocols (SFTP/FTPS); Disable anonymous access; Restrict file transfer permissions.
21,tcp,ftp,File Transfer Protocol [Control],HIGH,File Transfer,Use secure protocols (SFTP/FTPS); Disable anonymous access; Restrict file transfer permissions.
21,udp,ftp,File Transfer Protocol [Control],HIGH,File Transfer,Use secure protocols (SFTP/FTPS); Disable anonymous access; Restrict file transfer permissions.
21,sctp,ftp,FTP,HIGH,File Transfer,Use secure protocols (SFTP/FTPS); Disable anonymous access; Restrict file transfer permissions.
22,tcp,ssh,The Secure Shell (SSH) Protocol,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
22,udp,ssh,The Secure Shell (SSH) Protocol,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
22,sctp,ssh,SSH,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
23,tcp,telnet,Telnet,CRITICAL,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
23,udp,telnet,Telnet,CRITICAL,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
24,tcp,Unknown,any private mail system,MEDIUM,Email Services,"Enable SPF, DKIM and DMARC; Enforce TLS; Prevent open relay."
24,udp,Unknown,any private mail system,MEDIUM,Email Services,"Enable SPF, DKIM and DMARC; Enforce TLS; Prevent open relay."
25,tcp,smtp,Simple Mail Transfer,MEDIUM,Email Services,"Enable SPF, DKIM and DMARC; Enforce TLS; Prevent open relay."
25,udp,smtp,Simple Mail Transfer,MEDIUM,Email Services,"Enable SPF, DKIM and DMARC; Enforce TLS; Prevent open relay."
26,tcp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
26,udp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
27,tcp,nsw-fe,NSW User System FE,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
27,udp,nsw-fe,NSW User System FE,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
28,tcp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
28,udp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
29,tcp,msg-icp,MSG ICP,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
29,udp,msg-icp,MSG ICP,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
30,tcp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
30,udp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
31,tcp,msg-auth,MSG Authentication,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
31,udp,msg-auth,MSG Authentication,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
32,tcp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
32,udp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
33,tcp,dsp,Display Support Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
33,udp,dsp,Display Support Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
34,tcp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
34,udp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
35,tcp,Unknown,any private printer server,LOW,Printing Services,Restrict printer access; Disable unused print services.
35,udp,Unknown,any private printer server,LOW,Printing Services,Restrict printer access; Disable unused print services.
36,tcp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
36,udp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
37,tcp,time,Time,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
37,udp,time,Time,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
38,tcp,rap,Route Access Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
38,udp,rap,Route Access Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
39,tcp,rlp,Resource Location Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
39,udp,rlp,Resource Location Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
40,tcp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
40,udp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
41,tcp,graphics,Graphics,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
41,udp,graphics,Graphics,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
42,tcp,name,Host Name Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
42,udp,name,Host Name Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
42,tcp,nameserver,Host Name Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
42,udp,nameserver,Host Name Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
43,tcp,nicname,Who Is,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
43,udp,nicname,Who Is,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
44,tcp,mpm-flags,MPM FLAGS Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
44,udp,mpm-flags,MPM FLAGS Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
45,tcp,mpm,Message Processing Module [recv],LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
45,udp,mpm,Message Processing Module [recv],LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
46,tcp,mpm-snd,MPM [default send],LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
46,udp,mpm-snd,MPM [default send],LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
47,tcp,Unknown,Reserved,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
47,udp,Unknown,Reserved,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
48,tcp,auditd,Digital Audit Daemon,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
48,udp,auditd,Digital Audit Daemon,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
49,tcp,tacacs,Login Host Protocol (TACACS),LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
49,udp,tacacs,Login Host Protocol (TACACS),LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
50,tcp,re-mail-ck,Remote Mail Checking Protocol,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
50,udp,re-mail-ck,Remote Mail Checking Protocol,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
51,,Unknown,Reserved,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
52,tcp,xns-time,XNS Time Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
52,udp,xns-time,XNS Time Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
53,tcp,domain,Domain Name Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
53,udp,domain,Domain Name Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
54,tcp,xns-ch,XNS Clearinghouse,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
54,udp,xns-ch,XNS Clearinghouse,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
55,tcp,isi-gl,ISI Graphics Language,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
55,udp,isi-gl,ISI Graphics Language,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
56,tcp,xns-auth,XNS Authentication,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
56,udp,xns-auth,XNS Authentication,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
57,tcp,Unknown,any private terminal access,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
57,udp,Unknown,any private terminal access,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
58,tcp,xns-mail,XNS Mail,MEDIUM,Email Services,"Enable SPF, DKIM and DMARC; Enforce TLS; Prevent open relay."
58,udp,xns-mail,XNS Mail,MEDIUM,Email Services,"Enable SPF, DKIM and DMARC; Enforce TLS; Prevent open relay."
59,tcp,Unknown,any private file service,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
59,udp,Unknown,any private file service,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
60,tcp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
60,udp,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
61,tcp,Unknown,Reserved,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
61,udp,Unknown,Reserved,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
62,tcp,acas,ACA Services,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
62,udp,acas,ACA Services,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
63,tcp,whoispp,"whois++
IANA assigned this well-formed service name as a replacement for ""whois++"".",LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
63,tcp,whois++,whois++,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
63,udp,whoispp,"whois++
IANA assigned this well-formed service name as a replacement for ""whois++"".",LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
63,udp,whois++,whois++,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
64,tcp,covia,Communications Integrator (CI),LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
64,udp,covia,Communications Integrator (CI),LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
65,tcp,tacacs-ds,TACACS-Database Service,MEDIUM,Database,Restrict database access; Disable public exposure; Enable encryption; Use strong authentication.
65,udp,tacacs-ds,TACACS-Database Service,MEDIUM,Database,Restrict database access; Disable public exposure; Enable encryption; Use strong authentication.
66,tcp,sql-net,"Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net"".",MEDIUM,Database,Restrict database access; Disable public exposure; Enable encryption; Use strong authentication.
66,tcp,sql*net,Oracle SQL*NET,MEDIUM,Database,Restrict database access; Disable public exposure; Enable encryption; Use strong authentication.
66,udp,sql-net,"Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net"".",MEDIUM,Database,Restrict database access; Disable public exposure; Enable encryption; Use strong authentication.
66,udp,sql*net,Oracle SQL*NET,MEDIUM,Database,Restrict database access; Disable public exposure; Enable encryption; Use strong authentication.
67,tcp,bootps,Bootstrap Protocol Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
67,udp,bootps,Bootstrap Protocol Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
68,tcp,bootpc,Bootstrap Protocol Client,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
68,udp,bootpc,Bootstrap Protocol Client,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
69,tcp,tftp,Trivial File Transfer,MEDIUM,File Transfer,Use secure protocols (SFTP/FTPS); Disable anonymous access; Restrict file transfer permissions.
69,udp,tftp,Trivial File Transfer,MEDIUM,File Transfer,Use secure protocols (SFTP/FTPS); Disable anonymous access; Restrict file transfer permissions.
70,tcp,gopher,Gopher,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
70,udp,gopher,Gopher,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
71,tcp,netrjs-1,Remote Job Service,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
71,udp,netrjs-1,Remote Job Service,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
72,tcp,netrjs-2,Remote Job Service,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
72,udp,netrjs-2,Remote Job Service,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
73,tcp,netrjs-3,Remote Job Service,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
73,udp,netrjs-3,Remote Job Service,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
74,tcp,netrjs-4,Remote Job Service,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
74,udp,netrjs-4,Remote Job Service,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
75,tcp,Unknown,any private dial out service,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
75,udp,Unknown,any private dial out service,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
76,tcp,deos,Distributed External Object Store,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
76,udp,deos,Distributed External Object Store,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
77,tcp,Unknown,any private RJE service,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
77,udp,Unknown,any private RJE service,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
78,tcp,vettcp,vettcp,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
78,udp,vettcp,vettcp,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
79,tcp,finger,Finger,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
79,udp,finger,Finger,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
80,tcp,http,World Wide Web HTTP,MEDIUM,Web Services,Enable HTTPS; Keep web server updated; Use a Web Application Firewall (WAF).
80,udp,http,World Wide Web HTTP,MEDIUM,Web Services,Enable HTTPS; Keep web server updated; Use a Web Application Firewall (WAF).
80,tcp,www,World Wide Web HTTP,MEDIUM,Web Services,Enable HTTPS; Keep web server updated; Use a Web Application Firewall (WAF).
80,udp,www,World Wide Web HTTP,MEDIUM,Web Services,Enable HTTPS; Keep web server updated; Use a Web Application Firewall (WAF).
80,tcp,www-http,World Wide Web HTTP,MEDIUM,Web Services,Enable HTTPS; Keep web server updated; Use a Web Application Firewall (WAF).
80,udp,www-http,World Wide Web HTTP,MEDIUM,Web Services,Enable HTTPS; Keep web server updated; Use a Web Application Firewall (WAF).
80,sctp,http,HTTP,MEDIUM,Web Services,Enable HTTPS; Keep web server updated; Use a Web Application Firewall (WAF).
81,,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
82,tcp,xfer,XFER Utility,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
82,udp,xfer,XFER Utility,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
83,tcp,mit-ml-dev,MIT ML Device,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
83,udp,mit-ml-dev,MIT ML Device,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
84,tcp,ctf,Common Trace Facility,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
84,udp,ctf,Common Trace Facility,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
85,tcp,mit-ml-dev,MIT ML Device,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
85,udp,mit-ml-dev,MIT ML Device,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
86,tcp,mfcobol,Micro Focus Cobol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
86,udp,mfcobol,Micro Focus Cobol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
87,tcp,Unknown,any private terminal link,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
87,udp,Unknown,any private terminal link,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
88,tcp,kerberos,Kerberos,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
88,udp,kerberos,Kerberos,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
89,tcp,su-mit-tg,SU/MIT Telnet Gateway,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
89,udp,su-mit-tg,SU/MIT Telnet Gateway,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
90,tcp,dnsix,DNSIX Securit Attribute Token Map,LOW,Network Infrastructure,Restrict access to trusted networks; Monitor traffic; Keep services patched.
90,udp,dnsix,DNSIX Securit Attribute Token Map,LOW,Network Infrastructure,Restrict access to trusted networks; Monitor traffic; Keep services patched.
91,tcp,mit-dov,MIT Dover Spooler,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
91,udp,mit-dov,MIT Dover Spooler,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
92,tcp,npp,Network Printing Protocol,LOW,Printing Services,Restrict printer access; Disable unused print services.
92,udp,npp,Network Printing Protocol,LOW,Printing Services,Restrict printer access; Disable unused print services.
93,tcp,dcp,Device Control Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
93,udp,dcp,Device Control Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
94,tcp,objcall,Tivoli Object Dispatcher,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
94,udp,objcall,Tivoli Object Dispatcher,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
95,tcp,supdup,SUPDUP,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
95,udp,supdup,SUPDUP,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
96,tcp,dixie,DIXIE Protocol Specification,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
96,udp,dixie,DIXIE Protocol Specification,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
97,tcp,swift-rvf,Swift Remote Virtural File Protocol,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
97,udp,swift-rvf,Swift Remote Virtural File Protocol,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
98,tcp,tacnews,TAC News,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
98,udp,tacnews,TAC News,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
99,tcp,metagram,Metagram Relay,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
99,udp,metagram,Metagram Relay,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
100,,Unknown,Unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
101,tcp,hostname,NIC Host Name Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
101,udp,hostname,NIC Host Name Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
102,tcp,iso-tsap,ISO-TSAP Class 0,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
102,udp,iso-tsap,ISO-TSAP Class 0,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
103,tcp,gppitnp,Genesis Point-to-Point Trans Net,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
103,udp,gppitnp,Genesis Point-to-Point Trans Net,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
104,tcp,acr-nema,ACR-NEMA Digital Imag. & Comm. 300,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
104,udp,acr-nema,ACR-NEMA Digital Imag. & Comm. 300,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
105,tcp,cso,CCSO name server protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
105,udp,cso,CCSO name server protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
105,tcp,csnet-ns,Mailbox Name Nameserver,MEDIUM,Email Services,"Enable SPF, DKIM and DMARC; Enforce TLS; Prevent open relay."
105,udp,csnet-ns,Mailbox Name Nameserver,MEDIUM,Email Services,"Enable SPF, DKIM and DMARC; Enforce TLS; Prevent open relay."
106,tcp,3com-tsmux,3COM-TSMUX,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
106,udp,3com-tsmux,3COM-TSMUX,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
107,tcp,rtelnet,Remote Telnet Service,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
107,udp,rtelnet,Remote Telnet Service,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
108,tcp,snagas,SNA Gateway Access Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
108,udp,snagas,SNA Gateway Access Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
109,tcp,pop2,Post Office Protocol - Version 2,MEDIUM,Email Services,"Enable SPF, DKIM and DMARC; Enforce TLS; Prevent open relay."
109,udp,pop2,Post Office Protocol - Version 2,MEDIUM,Email Services,"Enable SPF, DKIM and DMARC; Enforce TLS; Prevent open relay."
110,tcp,pop3,Post Office Protocol - Version 3,MEDIUM,Email Services,"Enable SPF, DKIM and DMARC; Enforce TLS; Prevent open relay."
110,udp,pop3,Post Office Protocol - Version 3,MEDIUM,Email Services,"Enable SPF, DKIM and DMARC; Enforce TLS; Prevent open relay."
111,tcp,sunrpc,SUN Remote Procedure Call,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
111,udp,sunrpc,SUN Remote Procedure Call,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
112,tcp,mcidas,McIDAS Data Transmission Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
112,udp,mcidas,McIDAS Data Transmission Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
113,tcp,ident,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
113,tcp,auth,Authentication Service,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
113,udp,auth,Authentication Service,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
114,,Unknown,unassigned,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
115,tcp,sftp,Simple File Transfer Protocol,MEDIUM,File Transfer,Use secure protocols (SFTP/FTPS); Disable anonymous access; Restrict file transfer permissions.
115,udp,sftp,Simple File Transfer Protocol,MEDIUM,File Transfer,Use secure protocols (SFTP/FTPS); Disable anonymous access; Restrict file transfer permissions.
116,tcp,ansanotify,ANSA REX Notify,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
116,udp,ansanotify,ANSA REX Notify,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
117,tcp,uucp-path,UUCP Path Service,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
117,udp,uucp-path,UUCP Path Service,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
